,timestamp,t_indoor_measured,t_indoor_predicted,t_indoor_predicted_after_kalman
2020-01-04 04:50:00,2020/01/04 04:50:00,18.535948433815236,17.576603129772934,17.7885
2020-01-04 04:55:00,2020/01/04 04:55:00,18.517670661980446,17.55664355107524,17.77
2020-01-04 05:00:00,2020/01/04 05:00:00,18.508512654770698,17.53777989606391,17.7543
2020-01-04 05:05:00,2020/01/04 05:05:00,18.499267890960482,17.519727347888477,17.7389
2020-01-04 05:10:00,2020/01/04 05:10:00,18.485551789242436,17.502169627398075,17.7225
2020-01-04 05:15:00,2020/01/04 05:15:00,18.471798290067568,17.484815561930077,17.706
2020-01-04 05:20:00,2020/01/04 05:20:00,18.454853713596833,17.46744138383633,17.6885
2020-01-04 05:25:00,2020/01/04 05:25:00,18.43790824025251,17.449904928097567,17.6709
2020-01-04 05:30:00,2020/01/04 05:30:00,18.42200411211593,17.432145966551218,17.6534
2020-01-04 05:35:00,2020/01/04 05:35:00,18.40609537113977,17.414169890428923,17.6358
2020-01-04 05:40:00,2020/01/04 05:40:00,18.392791158389286,17.396056086651868,17.6185
2020-01-04 05:45:00,2020/01/04 05:45:00,18.379463949802243,17.37760705636191,17.6015
2020-01-04 05:50:00,2020/01/04 05:50:00,18.370068919088453,17.359347502425692,17.5854
2020-01-04 05:55:00,2020/01/04 05:55:00,18.360623596525386,17.34110992685561,17.5694
2020-01-04 06:00:00,2020/01/04 06:00:00,17.92417226368883,17.32305542047692,17.4592
2020-01-04 06:05:00,2020/01/04 06:05:00,17.312691015840812,17.31395844241183,17.3345
2020-01-04 06:10:00,2020/01/04 06:10:00,17.15072678294348,17.334841935839563,17.111
2020-01-04 06:15:00,2020/01/04 06:15:00,16.992429414752337,17.15546668723357,17.0098
2020-01-04 06:20:00,2020/01/04 06:20:00,17.122718977550278,17.049218607079922,16.9458
2020-01-04 06:25:00,2020/01/04 06:25:00,17.247232296767095,16.928051647602217,16.9508
2020-01-04 06:30:00,2020/01/04 06:30:00,17.236561291326666,16.873633122130457,16.9056
2020-01-04 06:35:00,2020/01/04 06:35:00,17.229830026467994,16.817891353128914,16.9048
2020-01-04 06:40:00,2020/01/04 06:40:00,17.167489414703027,16.805272573315733,16.8761
2020-01-04 06:45:00,2020/01/04 06:45:00,17.11018870422066,16.788575909078872,16.8693
2020-01-04 06:50:00,2020/01/04 06:50:00,17.09090042718708,16.791530578834397,16.8572
2020-01-04 06:55:00,2020/01/04 06:55:00,17.07347532856511,16.78488141920286,16.8543
2020-01-04 07:00:00,2020/01/04 07:00:00,17.129277798884573,16.784534588336612,16.8669
2020-01-04 07:05:00,2020/01/04 07:05:00,17.182681831970285,16.783554671891864,16.8883
2020-01-04 07:10:00,2020/01/04 07:10:00,17.17133561974032,16.791837495170967,16.8852
2020-01-04 07:15:00,2020/01/04 07:15:00,17.16076595012811,16.793463784428525,16.8844
2020-01-04 07:20:00,2020/01/04 07:20:00,17.159218583353947,16.795617449382007,16.8856
2020-01-04 07:25:00,2020/01/04 07:25:00,17.157023573234653,16.79774727913474,16.8923
2020-01-04 07:30:00,2020/01/04 07:30:00,17.166382155635915,16.80545286546527,16.9053
2020-01-04 07:35:00,2020/01/04 07:35:00,17.33251638296099,16.81812179723596,17.0711
2020-01-04 07:40:00,2020/01/04 07:40:00,18.04582584038593,16.946827432386954,17.7099
2020-01-04 07:45:00,2020/01/04 07:45:00,19.752793179014873,17.444357216674405,18.9005
2020-01-04 07:50:00,2020/01/04 07:50:00,21.46877995270637,18.342635808247394,20.3005
2020-01-04 07:55:00,2020/01/04 07:55:00,24.248236237104436,19.54501894236421,21.9704
2020-01-04 08:00:00,2020/01/04 08:00:00,24.100703982181585,20.833836889713098,21.6358
2020-01-04 08:05:00,2020/01/04 08:05:00,23.562738971085082,20.84631332406684,21.5027
2020-01-04 08:10:00,2020/01/04 08:10:00,22.546424607608287,20.846244650299013,21.2576
2020-01-04 08:15:00,2020/01/04 08:15:00,21.595104768413307,20.84673828920546,21.027
2020-01-04 08:20:00,2020/01/04 08:20:00,22.57849158796307,20.84613890228985,21.2649
2020-01-04 08:25:00,2020/01/04 08:25:00,23.472824164268957,20.84627189993364,21.4811
2020-01-04 08:30:00,2020/01/04 08:30:00,23.521147045681573,20.846341379305272,21.4927
2020-01-04 08:35:00,2020/01/04 08:35:00,23.45665620255039,20.846341375526663,21.4772
2020-01-04 08:40:00,2020/01/04 08:40:00,23.00738779705722,20.846341370466916,21.3686
2020-01-04 08:45:00,2020/01/04 08:45:00,22.43538882191649,20.84634136508322,21.2304
2020-01-04 08:50:00,2020/01/04 08:50:00,22.622071009597164,20.846341357257984,21.2755
2020-01-04 08:55:00,2020/01/04 08:55:00,22.668789519894688,20.84634134878422,21.2868
2020-01-04 09:00:00,2020/01/04 09:00:00,22.68997106286247,20.846341336670264,21.2919
2020-01-04 09:05:00,2020/01/04 09:05:00,22.617880208425788,20.846341324763557,21.2745
2020-01-04 09:10:00,2020/01/04 09:10:00,22.528698198727568,20.846341308827107,21.2529
2020-01-04 09:15:00,2020/01/04 09:15:00,22.37820800693953,20.846341280464173,21.2165
2020-01-04 09:20:00,2020/01/04 09:20:00,22.394729348533303,20.846341238228206,21.2205
2020-01-04 09:25:00,2020/01/04 09:25:00,22.359643378215424,20.846341216726273,21.2121
2020-01-04 09:30:00,2020/01/04 09:30:00,22.37365370735006,20.846341203467375,21.2154
2020-01-04 09:35:00,2020/01/04 09:35:00,22.3408007142462,20.846341206484055,21.2075
2020-01-04 09:40:00,2020/01/04 09:40:00,22.317381554647852,20.846341209727598,21.2018
2020-01-04 09:45:00,2020/01/04 09:45:00,22.249463062902123,20.846341237865886,21.1854
2020-01-04 09:50:00,2020/01/04 09:50:00,22.23100518763505,20.846341256578853,21.181
2020-01-04 09:55:00,2020/01/04 09:55:00,22.165390788657817,20.846341305556848,21.1651
2020-01-04 10:00:00,2020/01/04 10:00:00,22.149358183451454,20.84634131910616,21.1612
2020-01-04 10:05:00,2020/01/04 10:05:00,22.082669566620893,20.84634135669188,21.1451
