time,ElecLoads[core_zn],ElecLoads[perimeter_zn_1],ElecLoads[perimeter_zn_2],ElecLoads[perimeter_zn_3],ElecLoads[perimeter_zn_4]
0.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
3600.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
7200.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
10800.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
14400.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
18000.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
21600.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
25200.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
28800.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
32400.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
36000.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
39600.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
43200.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
46800.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
50400.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
54000.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
57600.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
61200.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
64800.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
68400.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
72000.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
75600.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
79200.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
82800.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
86400.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
90000.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
93600.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
97200.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
100800.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
104400.0,161.03415999999999,122.0722,72.41479999999999,122.0722,72.41479999999999
108000.0,161.03415999999999,122.0722,72.41479999999999,122.0722,72.41479999999999
111600.0,483.10247999999996,366.21659999999997,217.24439999999998,366.21659999999997,217.24439999999998
115200.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
118800.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
122400.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
126000.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
129600.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
133200.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
136800.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
140400.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
144000.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
147600.0,805.1708,610.361,362.07399999999996,610.361,362.07399999999996
151200.0,483.10247999999996,366.21659999999997,217.24439999999998,366.21659999999997,217.24439999999998
154800.0,483.10247999999996,366.21659999999997,217.24439999999998,366.21659999999997,217.24439999999998
158400.0,322.06831999999997,244.1444,144.82959999999997,244.1444,144.82959999999997
162000.0,322.06831999999997,244.1444,144.82959999999997,244.1444,144.82959999999997
165600.0,161.03415999999999,122.0722,72.41479999999999,122.0722,72.41479999999999
169200.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
172800.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
176400.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
180000.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
183600.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
187200.0,80.51707999999999,61.0361,36.20739999999999,61.0361,36.20739999999999
190800.0,161.03415999999999,122.0722,72.41479999999999,122.0722,72.41479999999999
194400.0,161.03415999999999,122.0722,72.41479999999999,122.0722,72.41479999999999
198000.0,483.10247999999996,366.21659999999997,217.24439999999998,366.21659999999997,217.24439999999998
201600.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
205200.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
208800.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
212400.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
216000.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
219600.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
223200.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
226800.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
230400.0,1449.30744,1098.6498000000001,651.7331999999999,1098.6498000000001,651.7331999999999
234000.0,805.1708,610.361,362.07399999999996,610.361,362.07399999999996
