,timestamp,t_indoor_measured,t_indoor_predicted,t_indoor_predicted_after_kalman
2020-01-04 04:50:00,2020/01/04 04:50:00,18.535948433815236,18.52803691686563,18.5093
2020-01-04 04:55:00,2020/01/04 04:55:00,18.517670661980446,18.509272847270267,18.4919
2020-01-04 05:00:00,2020/01/04 05:00:00,18.508512654770698,18.49187418795384,18.4775
2020-01-04 05:05:00,2020/01/04 05:05:00,18.499267890960482,18.477453040436615,18.4649
2020-01-04 05:10:00,2020/01/04 05:10:00,18.485551789242436,18.464932068780797,18.4523
2020-01-04 05:15:00,2020/01/04 05:15:00,18.471798290067568,18.452296012648787,18.4393
2020-01-04 05:20:00,2020/01/04 05:20:00,18.454853713596833,18.439346803557612,18.4252
2020-01-04 05:25:00,2020/01/04 05:25:00,18.43790824025251,18.42523732759463,18.4102
2020-01-04 05:30:00,2020/01/04 05:30:00,18.42200411211593,18.410200670581162,18.3947
2020-01-04 05:35:00,2020/01/04 05:35:00,18.40609537113977,18.39474456974898,18.4999
2020-01-04 05:40:00,2020/01/04 05:40:00,19.456598630284304,18.49994556766552,19.2359
2020-01-04 05:45:00,2020/01/04 05:45:00,21.42397225358519,19.23585025904464,20.5459
2020-01-04 05:50:00,2020/01/04 05:50:00,22.40348454990516,20.545850304658643,21.4413
2020-01-04 05:55:00,2020/01/04 05:55:00,22.470210846509076,21.44130183104062,21.2465
2020-01-04 06:00:00,2020/01/04 06:00:00,20.37489972892007,21.246535124741115,20.7874
2020-01-04 06:05:00,2020/01/04 06:05:00,18.646826960956503,20.787402370665404,20.4703
2020-01-04 06:10:00,2020/01/04 06:10:00,20.193539034281514,20.470292582791785,20.9192
2020-01-04 06:15:00,2020/01/04 06:15:00,21.48351312580695,20.919216140207993,21.1306
2020-01-04 06:20:00,2020/01/04 06:20:00,21.301267092237424,21.130601488442153,21.0362
2020-01-04 06:25:00,2020/01/04 06:25:00,21.1023569194316,21.036201481991156,21.0108
2020-01-04 06:30:00,2020/01/04 06:30:00,20.48446132022457,21.01076151007294,20.867
2020-01-04 06:35:00,2020/01/04 06:35:00,20.1030877854692,20.866955006672924,20.8068
2020-01-04 06:40:00,2020/01/04 06:40:00,20.649357753619938,20.80681082321763,20.9536
2020-01-04 06:45:00,2020/01/04 06:45:00,21.106915192240535,20.95360117702353,21.0309
2020-01-04 06:50:00,2020/01/04 06:50:00,21.061751686363777,21.03094472045433,21.0014
