Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),WaterSystems:NaturalGas [J](Hourly) 
 01/02  23:00:00,149819760.76093073,0.0,0.0,19298995.284421438,53294400.0,77195981.13768575,0.0,30384.33882352941,3970751.516090098,0.0,3970751.516090098 
 01/02  24:00:00,149513246.26975674,7836188.703893362,0.0,9649497.642210719,53294400.0,77195981.13768575,1506794.4471433836,30384.338823529408,227758.8935753811,155758.8935753811,72000.0 
 01/03  01:00:00,163974634.02819524,20790782.015188457,0.0,9649497.642210719,53294400.0,77195981.13768575,3013588.894286767,30384.33882352941,4293887.068960756,322927.1809988561,3970959.8879619005 
 01/03  02:00:00,179276667.18887974,35339417.95230126,0.0,9649497.642210719,53294400.0,77195981.13768575,3766986.1178584594,30384.33882352941,3155456.2951268919,3083456.2951268919,72000.0 
 01/03  03:00:00,191902108.52288378,45813846.37755068,0.0,9649497.642210719,53294400.0,77195981.13768575,5917999.026613112,30384.33882352941,8842239.907643622,4871046.582641751,3971193.3250018719 
 01/03  04:00:00,226567198.19280077,76951002.41501062,0.0,9649497.642210719,53294400.0,77195981.13768575,9445932.659070138,30384.33882352941,10653374.63279921,10581374.63279921,72000.0 
 01/03  05:00:00,229115626.19773836,79391961.12028975,0.0,9649497.642210719,53294400.0,77195981.13768575,9553401.95872864,30384.33882352941,13967916.712645725,9996906.746308467,3971009.966337257 
 01/03  06:00:00,260226024.56705425,100031654.01613595,0.0,19298995.284421438,53294400.0,77195981.13768575,10374609.789987596,30384.33882352941,16045007.000861975,15973007.000861975,72000.0 
 01/03  07:00:00,848915771.5275588,685810669.6008171,0.0,19298995.284421438,53294400.0,77195981.13768575,13285341.165810822,30384.33882352941,5263583.391623089,1292642.9063404457,3970940.485282643 
 01/03  08:00:00,708424097.186177,501792143.15213099,0.0,57896985.85326433,17764800.0,117654442.67614728,13285341.165810822,30384.338823529408,294321184.6069095,290347789.33074209,3973395.2761674236 
 01/03  09:00:00,751472693.2307232,311014085.5735359,0.0,173690957.55979295,0.0,253451924.59275989,13285341.165810822,30384.33882352941,254027862.48907835,246146622.15815539,7881240.330922956 
 01/03  10:00:00,641644143.096056,231240392.58172596,0.0,173690957.55979295,0.0,223397067.4499028,13285341.165810822,30384.338823529408,191859021.87740387,183976603.03638143,7882418.841022437 
 01/03  11:00:00,587421578.0154579,183953563.7648642,0.0,173690957.55979295,0.0,216461331.18616648,13285341.165810822,30384.338823529408,131851390.9620893,123969147.74318597,7882243.218903324 
 01/03  12:00:00,551803635.9867098,141399885.47237975,0.0,173690957.55979295,0.0,223397067.4499028,13285341.165810822,30384.338823529408,105273913.52982918,93480628.59665814,11793284.933171016 
 01/03  13:00:00,556111144.7246294,147405736.42326726,0.0,173690957.55979295,0.0,221437412.82482205,13546653.577923563,30384.338823529408,90956784.67329222,79158700.87802567,11798083.795266556 
 01/03  14:00:00,516393459.52262029,99377928.39147513,0.0,173690957.55979295,0.0,229176847.66968299,14117341.56284562,30384.338823529408,70383218.96836373,58586578.596043217,11796640.372320543 
 01/03  15:00:00,480184277.9186544,76079574.36110121,0.0,173690957.55979295,0.0,216461331.18616648,13922030.47277017,30384.338823529408,72796597.25005809,64915787.14707101,7880810.102987066 
 01/03  16:00:00,467831950.42274239,64215663.48720011,0.0,173690957.55979295,0.0,216461331.18616648,13433613.850759285,30384.338823529408,95456662.04356507,87576644.16405376,7880017.879511328 
 01/03  17:00:00,508854138.65528866,77217720.00909044,0.0,173690957.55979295,17764800.0,226864935.58177094,13285341.165810822,30384.338823529408,117511717.17277742,105720623.11740011,11791094.055377299 
 01/03  18:00:00,563102569.735259,135242686.75752778,0.0,135092966.9909501,53294400.0,226061237.00064618,13380894.647311002,30384.338823529408,129868912.19819337,125894254.95053959,3974657.2476537565 
 01/03  19:00:00,485979335.05307617,193208788.89233346,0.0,96494976.4221072,53294400.0,129665444.23400118,13285341.165810822,30384.33882352941,162091506.0717339,154215410.52790044,7876095.543833456 
 01/03  20:00:00,497773940.20232817,214251042.39323379,0.0,96494976.4221072,53294400.0,120417795.88235286,13285341.165810822,30384.338823529408,181869138.04190115,177896434.14150704,3972703.9003941209 
 01/03  21:00:00,491572921.755358,265947009.79952789,0.0,57896985.85326433,53294400.0,101118800.5979314,13285341.165810822,30384.338823529408,202001493.229246,198028485.97190333,3973007.257342644 
 01/03  22:00:00,508460210.58590319,287458122.8058974,0.0,57896985.85326433,53294400.0,96494976.4221072,13285341.165810822,30384.338823529408,212786775.8353684,212714775.8353684,72000.0 
 01/03  23:00:00,149819760.76093073,0.0,0.0,19298995.284421438,53294400.0,77195981.13768575,0.0,30384.33882352941,3970953.6730433276,0.0,3970953.6730433276 
 01/03  24:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0 
 01/04  01:00:00,158641070.68425078,15457218.671244026,0.0,9649497.642210719,53294400.0,77195981.13768575,3013588.8942867678,30384.33882352941,5241221.3655767519,1270166.4967858294,3971054.8687909238 
 01/04  02:00:00,168660479.58258293,24723230.34600447,0.0,9649497.642210719,53294400.0,77195981.13768575,3766986.117858459,30384.33882352941,922637.9421168196,850637.9421168196,72000.0 
 01/04  03:00:00,169316419.5465193,26132567.533512545,0.0,9649497.642210719,53294400.0,77195981.13768575,3013588.8942867678,30384.33882352941,7955719.376631282,3984545.071635146,3971174.3049961349 
 01/04  04:00:00,182758752.51584358,38821503.27926512,0.0,9649497.642210719,53294400.0,77195981.13768575,3766986.117858459,30384.33882352941,7706653.696303673,7634653.696303673,72000.0 
 01/04  05:00:00,199483534.65254713,53292976.94792564,0.0,9649497.642210719,53294400.0,77195981.13768575,6020294.585901467,30384.33882352941,15170062.741488908,11199104.16674977,3970958.574739136 
 01/04  06:00:00,240592651.24993644,81162599.15489348,0.0,19298995.284421438,53294400.0,77195981.13768575,9610291.33411224,30384.33882352941,16574637.012814999,15436484.10030329,1138152.9125117078 
 01/04  07:00:00,784903049.1073711,621797947.1806295,0.0,19298995.284421438,53294400.0,77195981.13768575,13285341.165810822,30384.33882352941,3984283.351815955,1079572.2875811174,2904711.0642348376 
 01/04  08:00:00,643488085.2283821,436856131.19433608,0.0,57896985.85326433,17764800.0,117654442.67614728,13285341.165810822,30384.338823529408,281420916.5927023,277447590.6228183,3973325.969884042 
 01/04  09:00:00,643123493.1236113,202664885.46642406,0.0,173690957.55979295,0.0,253451924.59275989,13285341.165810822,30384.33882352941,236372791.2377702,228491236.57065869,7881554.66711146 
 01/04  10:00:00,547023002.9039419,136619252.38961173,0.0,173690957.55979295,0.0,223397067.4499028,13285341.165810822,30384.338823529408,184655714.55592356,172867600.53746418,11788114.01845937 
 01/04  11:00:00,523493832.42762926,119712696.18538289,0.0,173690957.55979295,0.0,216461331.18616648,13598463.15746332,30384.338823529408,120528275.28396178,112645719.7290983,7882555.554863451 
 01/04  12:00:00,524497223.4410089,112667685.11110962,0.0,173690957.55979295,0.0,223397067.4499028,14711128.981380048,30384.338823529408,64837186.80621807,56952159.732657019,7885027.073561054 
 01/04  13:00:00,528208153.3009721,117687589.61519143,0.0,173690957.55979295,0.0,221437412.82482205,15361808.962342002,30384.338823529408,41828390.48957934,26121567.8454397,15706822.644139637 
 01/04  14:00:00,492783759.7574517,74129983.94707656,0.0,173690957.55979295,0.0,229176847.66968299,15755586.24207563,30384.338823529408,24102466.1901488,12306975.031961412,11795491.15818739 
 01/04  15:00:00,459749265.8820133,54768067.00933638,0.0,173690957.55979295,0.0,216461331.18616648,14798525.787893884,30384.338823529408,29677663.574041718,21797164.45157823,7880499.122463483 
 01/04  16:00:00,458827536.5039714,55077886.294979009,0.0,173690957.55979295,0.0,216461331.18616648,13566977.124209444,30384.338823529408,75207336.9172348,67327335.24288225,7880001.674352548 
 01/04  17:00:00,506962276.60621127,75181900.35319549,0.0,173690957.55979295,17764800.0,226864935.58177094,13429298.772628366,30384.338823529408,105082367.61351319,97197071.04441826,7885296.569094915 
 01/04  18:00:00,547020532.8132258,118873291.39372279,0.0,135092966.9909501,53294400.0,226061237.00064618,13668253.08908286,30384.338823529408,124855838.89377153,116978322.06046206,7877516.833309462 
 01/04  19:00:00,461639411.0097912,168868864.84904856,0.0,96494976.4221072,53294400.0,129665444.23400118,13285341.165810822,30384.33882352941,151048594.17517198,147074819.88790248,3973774.2872695105 
 01/04  20:00:00,468141731.69519987,184618833.88610558,0.0,96494976.4221072,53294400.0,120417795.88235286,13285341.165810822,30384.338823529408,169406487.89551697,165433790.9741477,3972696.921369262 
 01/04  21:00:00,450031412.94320896,224405500.9873789,0.0,57896985.85326433,53294400.0,101118800.5979314,13285341.165810822,30384.338823529408,186868453.28459317,182895430.9675972,3973022.3169959827 
 01/04  22:00:00,466047885.038685,245045797.25867928,0.0,57896985.85326433,53294400.0,96494976.4221072,13285341.165810822,30384.338823529408,198678804.11136804,194707588.54025469,3971215.5711133496 
 01/04  23:00:00,149819760.76093073,0.0,0.0,19298995.284421438,53294400.0,77195981.13768575,0.0,30384.33882352941,72000.0,0.0,72000.0 
 01/04  24:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,3970859.8796140418,0.0,3970859.8796140418 
 01/05  01:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0 
 01/05  02:00:00,160930271.82526345,17746419.812256684,0.0,9649497.642210719,53294400.0,77195981.13768575,3013588.8942867678,30384.33882352941,6836872.149273491,2865899.388475674,3970972.7607978174 
 01/05  03:00:00,172698446.52504335,28761197.288464864,0.0,9649497.642210719,53294400.0,77195981.13768575,3766986.117858459,30384.33882352941,4491793.817831173,4419793.817831173,72000.0 
 01/05  04:00:00,172550206.2808011,29366354.26779434,0.0,9649497.642210719,53294400.0,77195981.13768575,3013588.8942867678,30384.33882352941,11123093.941089839,7152536.568500396,3970557.372589443 
 01/05  05:00:00,184491697.6268456,40554448.390267159,0.0,9649497.642210719,53294400.0,77195981.13768575,3766986.117858459,30384.33882352941,9980541.507248149,9908541.507248149,72000.0 
 01/05  06:00:00,194100498.9170891,40709942.98332113,0.0,19298995.284421438,53294400.0,77195981.13768575,3570795.1728372408,30384.33882352941,15069155.88714813,11097771.96823914,3971383.9189089925 
 01/05  07:00:00,738760265.0724933,575655163.1457517,0.0,19298995.284421438,53294400.0,77195981.13768575,13285341.165810822,30384.33882352941,1093698.3342277513,1021698.3342277513,72000.0 
 01/05  08:00:00,639490172.8996456,432858218.8655995,0.0,57896985.85326433,17764800.0,117654442.67614728,13285341.165810822,30384.338823529408,305251863.9972491,297377333.4013065,7874530.595942706 
 01/05  09:00:00,708933077.0946822,268474469.43749508,0.0,173690957.55979295,0.0,253451924.59275989,13285341.165810822,30384.33882352941,289793533.5267097,281912526.61420437,7881006.912505343 
 01/05  10:00:00,608614926.4749575,198211175.96062745,0.0,173690957.55979295,0.0,223397067.4499028,13285341.165810822,30384.338823529408,278621718.7743029,270739698.6284081,7882020.145894844 
 01/05  11:00:00,549999300.8797108,146531286.62911699,0.0,173690957.55979295,0.0,216461331.18616648,13285341.165810822,30384.338823529408,269142661.0760454,261259616.12991507,7883044.946130289 
 01/05  12:00:00,547149563.8847897,136743269.923275,0.0,173690957.55979295,0.0,223397067.4499028,13287884.61299539,30384.338823529408,259288515.7760705,247495936.79039476,11792578.985675734 
