,senHeaPow1_y,PSZACcontroller_oveHeaPer1_u,TDryBul,HGloHor,Occupancy[perimeter_zn_1],senTemRoom1_y,timestamp
2020-01-01 04:05:00,0.0,0.0,-10.6,0.0,0.0,291.26313170896276,2020-01-01 04:05:00
2020-01-01 04:10:00,0.0,0.0,-10.6,0.0,0.0,291.24060049233015,2020-01-01 04:10:00
2020-01-01 04:15:00,0.0,0.0,-10.6,0.0,0.0,291.2189901316706,2020-01-01 04:15:00
2020-01-01 04:20:00,0.0,0.0,-10.6,0.0,0.0,291.1973444642842,2020-01-01 04:20:00
2020-01-01 04:25:00,0.0,0.0,-10.6,0.0,0.0,291.1757775805849,2020-01-01 04:25:00
2020-01-01 04:30:00,0.0,0.0,-10.6,0.0,0.0,291.15418367430317,2020-01-01 04:30:00
2020-01-01 04:35:00,0.0,0.0,-10.6,0.0,0.0,291.1329393040416,2020-01-01 04:35:00
2020-01-01 04:40:00,0.0,0.0,-10.6,0.0,0.0,291.11167079869966,2020-01-01 04:40:00
2020-01-01 04:45:00,0.0,0.0,-10.6,0.0,0.0,291.09092702399397,2020-01-01 04:45:00
2020-01-01 04:50:00,0.0,0.0,-10.6,0.0,0.0,291.07016093867355,2020-01-01 04:50:00
2020-01-01 04:55:00,0.0,0.0,-10.6,0.0,0.0,291.04982278812275,2020-01-01 04:55:00
2020-01-01 05:00:00,0.0,0.0,-10.6,0.0,0.0,291.02946441760514,2020-01-01 05:00:00
2020-01-01 05:05:00,0.0,0.0,-10.6,0.0,0.0,291.0080912638335,2020-01-01 05:05:00
2020-01-01 05:10:00,0.0,0.0,-10.6,0.0,0.0,290.98671129175324,2020-01-01 05:10:00
2020-01-01 05:15:00,0.0,0.0,-10.6,0.0,0.0,290.96536735138426,2020-01-01 05:15:00
2020-01-01 05:20:00,0.0,0.0,-10.6,0.0,0.0,290.9440194884282,2020-01-01 05:20:00
2020-01-01 05:25:00,0.0,0.0,-10.6,0.0,0.0,290.9231741967997,2020-01-01 05:25:00
2020-01-01 05:30:00,0.0,0.0,-10.6,0.0,0.0,290.90232258490647,2020-01-01 05:30:00
2020-01-01 05:35:00,0.0,0.0,-10.6,0.0,0.0,290.8817283595205,2020-01-01 05:35:00
2020-01-01 05:40:00,0.0,0.0,-10.6,0.0,0.0,290.8611270793029,2020-01-01 05:40:00
2020-01-01 05:45:00,0.0,0.0,-10.6,0.0,0.0,290.8406523106254,2020-01-01 05:45:00
2020-01-01 05:50:00,0.0,0.0,-10.6,0.0,0.0,290.8201712836086,2020-01-01 05:50:00
2020-01-01 05:55:00,0.0,0.0,-10.6,0.0,0.0,290.7998642398662,2020-01-01 05:55:00
2020-01-01 06:00:00,0.0,0.0,-10.6,0.0,0.0,290.7795511153329,2020-01-01 06:00:00
2020-01-01 06:05:00,0.0,0.0,-10.549999999999999,1.0,0.0,290.758726983351,2020-01-01 06:05:00
