,timestamp,t_indoor_measured,t_indoor_predicted
2020-01-04 00:00:00,2020/01/04 00:00:00,18.61065005541809,18.61065005541809
2020-01-04 00:05:00,2020/01/04 00:05:00,18.587360073131663,18.587360073131663
2020-01-04 00:10:00,2020/01/04 00:10:00,18.559654372516775,18.559654372516775
2020-01-04 00:15:00,2020/01/04 00:15:00,18.532056034042228,18.532056034042228
2020-01-04 00:20:00,2020/01/04 00:20:00,18.505831064067706,18.505831064067706
2020-01-04 00:25:00,2020/01/04 00:25:00,18.48004074655745,18.48004074655745
2020-01-04 00:30:00,2020/01/04 00:30:00,18.455272033911683,18.455272033911683
2020-01-04 00:35:00,2020/01/04 00:35:00,18.430983401748335,18.430983401748335
2020-01-04 00:40:00,2020/01/04 00:40:00,18.407560856908276,18.407560856908276
2020-01-04 00:45:00,2020/01/04 00:45:00,18.384662360896925,18.384662360896925
2020-01-04 00:50:00,2020/01/04 00:50:00,18.362498104964857,18.362498104964857
2020-01-04 00:55:00,2020/01/04 00:55:00,18.34081609848488,18.34081609848488
2020-01-04 01:00:00,2020/01/04 01:00:00,18.319703575316908,18.319703575316908
2020-01-04 01:05:00,2020/01/04 01:05:00,18.29896616172948,18.29896616172948
2020-01-04 01:10:00,2020/01/04 01:10:00,18.27862794277769,18.27862794277769
2020-01-04 01:15:00,2020/01/04 01:15:00,18.258548952065553,18.258548952065553
2020-01-04 01:20:00,2020/01/04 01:20:00,18.238734026324437,18.238734026324437
2020-01-04 01:25:00,2020/01/04 01:25:00,18.219094206752118,18.219094206752118
2020-01-04 01:30:00,2020/01/04 01:30:00,18.199635285684735,18.199635285684735
2020-01-04 01:35:00,2020/01/04 01:35:00,18.18030751469206,18.18030751469206
2020-01-04 01:40:00,2020/01/04 01:40:00,18.161120124866443,18.161120124866443
2020-01-04 01:45:00,2020/01/04 01:45:00,18.142046666193323,18.142046666193323
2020-01-04 01:50:00,2020/01/04 01:50:00,18.12309510633378,18.12309510633378
2020-01-04 01:55:00,2020/01/04 01:55:00,18.10424906230037,18.10424906230037
2020-01-04 02:00:00,2020/01/04 02:00:00,18.085511479280342,18.085511479280342
2020-01-04 02:05:00,2020/01/04 02:05:00,18.06686883261341,18.06686883261341
2020-01-04 02:10:00,2020/01/04 02:10:00,18.048318816405867,18.048318816405867
2020-01-04 02:15:00,2020/01/04 02:15:00,18.029848887094204,18.029848887094204
2020-01-04 02:20:00,2020/01/04 02:20:00,18.01145387448065,18.01145387448065
2020-01-04 02:25:00,2020/01/04 02:25:00,17.993122968891612,17.993122968891612
2020-01-04 02:30:00,2020/01/04 02:30:00,17.974850816366313,17.974850816366313
2020-01-04 02:35:00,2020/01/04 02:35:00,17.95662935543254,17.95662935543254
2020-01-04 02:40:00,2020/01/04 02:40:00,17.938454573147112,17.938454573147112
2020-01-04 02:45:00,2020/01/04 02:45:00,17.920321201278114,17.920321201278114
2020-01-04 02:50:00,2020/01/04 02:50:00,17.902226780655838,17.902226780655838
2020-01-04 02:55:00,2020/01/04 02:55:00,17.884168144573437,17.884168144573437
2020-01-04 03:00:00,2020/01/04 03:00:00,17.866143831936995,17.866143831936995
2020-01-04 03:05:00,2020/01/04 03:05:00,17.84815180782033,17.84815180782033
2020-01-04 03:10:00,2020/01/04 03:10:00,17.831321290993912,17.831321290993912
2020-01-04 03:15:00,2020/01/04 03:15:00,17.816749297757724,17.816749297757724
2020-01-04 03:20:00,2020/01/04 03:20:00,17.80454554712918,17.80454554712918
2020-01-04 03:25:00,2020/01/04 03:25:00,17.79494230927321,17.79494230927321
2020-01-04 03:30:00,2020/01/04 03:30:00,17.788081031347474,17.788081031347474
2020-01-04 03:35:00,2020/01/04 03:35:00,17.7838019696448,17.7838019696448
2020-01-04 03:40:00,2020/01/04 03:40:00,17.781561941144616,17.781561941144616
2020-01-04 03:45:00,2020/01/04 03:45:00,17.780464379232058,17.780464379232058
2020-01-04 03:50:00,2020/01/04 03:50:00,17.779333510285824,17.779333510285824
2020-01-04 03:55:00,2020/01/04 03:55:00,17.7768397561822,17.7768397561822
2020-01-04 04:00:00,2020/01/04 04:00:00,17.77160898995902,17.77160898995902
2020-01-04 04:05:00,2020/01/04 04:05:00,17.762327339303567,17.762327339303567
2020-01-04 04:10:00,2020/01/04 04:10:00,17.749060247843033,17.749060247843033
2020-01-04 04:15:00,2020/01/04 04:15:00,17.732549012211223,17.732549012211223
2020-01-04 04:20:00,2020/01/04 04:20:00,17.71297400781731,17.71297400781731
2020-01-04 04:25:00,2020/01/04 04:25:00,17.690998296856662,17.690998296856662
2020-01-04 04:30:00,2020/01/04 04:30:00,17.66759364307262,17.66759364307262
2020-01-04 04:35:00,2020/01/04 04:35:00,17.643749490024334,17.643749490024334
2020-01-04 04:40:00,2020/01/04 04:40:00,17.62030571867109,17.62030571867109
2020-01-04 04:45:00,2020/01/04 04:45:00,17.597829600182422,17.597829600182422
2020-01-04 04:50:00,2020/01/04 04:50:00,17.576603129772934,17.576603129772934
2020-01-04 04:55:00,2020/01/04 04:55:00,17.55664355107524,17.55664355107524
2020-01-04 05:00:00,2020/01/04 05:00:00,17.53777989606391,17.53777989606391
2020-01-04 05:05:00,2020/01/04 05:05:00,17.519727347888477,17.519727347888477
2020-01-04 05:10:00,2020/01/04 05:10:00,17.502169627398075,17.502169627398075
2020-01-04 05:15:00,2020/01/04 05:15:00,17.484815561930077,17.484815561930077
2020-01-04 05:20:00,2020/01/04 05:20:00,17.46744138383633,17.46744138383633
2020-01-04 05:25:00,2020/01/04 05:25:00,17.449904928097567,17.449904928097567
