,Time,datetime,T_OA,HgloHor1,Core_OccN,CORE_IntGaiTot,Core_HeaPow,Core_FanPow,Core_OAVol,P1_OccN,P1_IntGaiTot,P1_HeaPow,P1_FanPow,P1_OAVol,P2_OccN,P2_IntGaiTot,P2_HeaPow,P2_FanPow,P2_OAVol,P3_OccN,P3_IntGaiTot,P3_HeaPow,P3_FanPow,P3_OAVol,P4_OccN,P4_IntGaiTot,P4_HeaPow,P4_FanPow,P4_OAVol
528570,31800600,2020-01-04 01:30:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817886,7.4817886,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457485,2.3418431e-06
528575,31800900,2020-01-04 01:35:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481786,7.481786,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.745745,2.3528635e-06
528580,31801200,2020-01-04 01:40:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817834,7.4817834,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457423,2.3626121e-06
528585,31801500,2020-01-04 01:45:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481781,7.481781,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.74574,2.3712973e-06
528590,31801800,2020-01-04 01:50:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481779,7.481779,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457376,2.3789805e-06
528595,31802100,2020-01-04 01:55:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817777,7.4817777,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457356,2.3858254e-06
528600,31802400,2020-01-04 02:00:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817758,7.4817758,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457337,2.3918806e-06
528605,31802700,2020-01-04 02:05:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481775,7.481775,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.745732,2.397275e-06
528610,31803000,2020-01-04 02:10:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817734,7.4817734,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.745731,2.4020471e-06
528615,31803300,2020-01-04 02:15:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817724,7.4817724,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457294,2.4064077e-06
528620,31803600,2020-01-04 02:20:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817715,7.4817715,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.745728,2.4102762e-06
528625,31803900,2020-01-04 02:25:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817705,7.4817705,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.745727,2.4136025e-06
528630,31804200,2020-01-04 02:30:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817696,7.4817696,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457266,2.416545e-06
528635,31804500,2020-01-04 02:35:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481769,7.481769,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457256,2.4191663e-06
528640,31804800,2020-01-04 02:40:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817686,7.4817686,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457247,2.4214853e-06
528645,31805100,2020-01-04 02:45:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481768,7.481768,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.745724,2.4235512e-06
528650,31805400,2020-01-04 02:50:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817677,7.4817677,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457237,2.4253789e-06
528655,31805700,2020-01-04 02:55:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481767,7.481767,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457232,2.427007e-06
528660,31806000,2020-01-04 03:00:00,270.35,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817667,7.4817667,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.745723,2.4284475e-06
528665,31806300,2020-01-04 03:05:00,270.34015,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817667,7.4817667,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457223,2.4297306e-06
528670,31806600,2020-01-04 03:10:00,270.31296,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481766,7.481766,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457223,2.4308658e-06
528675,31806900,2020-01-04 03:15:00,270.27188,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817657,7.4817657,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.745722,2.431877e-06
528680,31807200,2020-01-04 03:20:00,270.22037,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817657,7.4817657,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457213,2.4327717e-06
528685,31807500,2020-01-04 03:25:00,270.16193,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817657,7.4817657,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457213,2.4335686e-06
528690,31807800,2020-01-04 03:30:00,270.1,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817653,7.4817653,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457213,2.4342737e-06
528695,31808100,2020-01-04 03:35:00,270.0381,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817653,7.4817653,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.745721,2.434902e-06
528700,31808400,2020-01-04 03:40:00,269.97964,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.4817653,7.4817653,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.745721,2.4354576e-06
528705,31808700,2020-01-04 03:45:00,269.92813,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481765,7.481765,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457204,2.4359526e-06
528710,31809000,2020-01-04 03:50:00,269.88702,0.0,0.0,724.6411308,0.0,5.898723,0.00014714492,0.0,549.3249,0.0,7.4810686,3.0923282e-05,0.0,325.8666,0.0,7.481765,7.481765,0.0,549.3249,0.0,7.123713,0.098213725,0.0,325.8666,0.0,7.7457204,2.4363906e-06
