,timestamp,t_indoor_measured,t_indoor_predicted
2020-01-04 00:00:00,2020/01/04 00:00:00,20.320430638402,18.61065005541809
2020-01-04 00:05:00,2020/01/04 00:05:00,20.638092298114373,19.000551230251745
2020-01-04 00:10:00,2020/01/04 00:10:00,20.495846932671498,19.362664012411926
2020-01-04 00:15:00,2020/01/04 00:15:00,20.355008426389304,19.573332927890306
2020-01-04 00:20:00,2020/01/04 00:20:00,20.23486127502349,19.70167867704032
2020-01-04 00:25:00,2020/01/04 00:25:00,20.115980035588905,19.770892885525882
2020-01-04 00:30:00,2020/01/04 00:30:00,20.060347725073143,19.812073392668594
2020-01-04 00:35:00,2020/01/04 00:35:00,20.005300699380314,19.840100918463122
2020-01-04 00:40:00,2020/01/04 00:40:00,19.96335763748374,19.862501900164773
2020-01-04 00:45:00,2020/01/04 00:45:00,19.921738892310316,19.873873051545274
2020-01-04 00:50:00,2020/01/04 00:50:00,19.875976984996896,19.876842832665545
2020-01-04 00:55:00,2020/01/04 00:55:00,19.830463991201952,19.865207658219333
2020-01-04 01:00:00,2020/01/04 01:00:00,19.78373815932298,19.842813283173427
2020-01-04 01:05:00,2020/01/04 01:05:00,19.73719328755243,19.80875875508707
2020-01-04 01:10:00,2020/01/04 01:10:00,19.69440307883849,19.767547875770333
2020-01-04 01:15:00,2020/01/04 01:15:00,19.651707833138744,19.72138255464722
2020-01-04 01:20:00,2020/01/04 01:20:00,19.613327815612422,19.673754980541617
2020-01-04 01:25:00,2020/01/04 01:25:00,19.57497276045615,19.62666862269208
2020-01-04 01:30:00,2020/01/04 01:30:00,19.538890044035043,19.581935602010446
2020-01-04 01:35:00,2020/01/04 01:35:00,19.50279659166779,19.540046857142784
2020-01-04 01:40:00,2020/01/04 01:40:00,19.46822072786,19.501426414076434
2020-01-04 01:45:00,2020/01/04 01:45:00,19.433616664973215,19.465670627122392
2020-01-04 01:50:00,2020/01/04 01:50:00,19.4006361461619,19.432399557886356
2020-01-04 01:55:00,2020/01/04 01:55:00,19.36761643568667,19.401009336422874
2020-01-04 02:00:00,2020/01/04 02:00:00,19.336803576344607,19.370881210181267
2020-01-04 02:05:00,2020/01/04 02:05:00,19.305940282936376,19.341703772762116
2020-01-04 02:10:00,2020/01/04 02:10:00,19.276617182749533,19.3129586198491
2020-01-04 02:15:00,2020/01/04 02:15:00,19.247241052556717,19.284463139444085
2020-01-04 02:20:00,2020/01/04 02:20:00,19.21896732924705,19.255971844915905
2020-01-04 02:25:00,2020/01/04 02:25:00,19.190643065993186,19.227507553938324
2020-01-04 02:30:00,2020/01/04 02:30:00,19.163368401794173,19.199036685366366
2020-01-04 02:35:00,2020/01/04 02:35:00,19.136046466104688,19.17075014184894
2020-01-04 02:40:00,2020/01/04 02:40:00,19.109734611154067,19.142675768691106
2020-01-04 02:45:00,2020/01/04 02:45:00,19.08337866618399,19.115024828354308
2020-01-04 02:50:00,2020/01/04 02:50:00,19.057921037245478,19.087785565619242
2020-01-04 02:55:00,2020/01/04 02:55:00,19.032422886498637,19.06109753930349
2020-01-04 03:00:00,2020/01/04 03:00:00,19.007381866111587,19.0348858424652
2020-01-04 03:05:00,2020/01/04 03:05:00,18.982306650496525,19.009136870225063
2020-01-04 03:10:00,2020/01/04 03:10:00,18.957859216009865,18.984886439042725
2020-01-04 03:15:00,2020/01/04 03:15:00,18.933381290274895,18.96299007973289
2020-01-04 03:20:00,2020/01/04 03:20:00,18.909593535795295,18.942980785863938
2020-01-04 03:25:00,2020/01/04 03:25:00,18.88577758628088,18.924781900250252
2020-01-04 03:30:00,2020/01/04 03:30:00,18.86255037066985,18.908116657346227
2020-01-04 03:35:00,2020/01/04 03:35:00,18.839297308627465,18.892593945306146
2020-01-04 03:40:00,2020/01/04 03:40:00,18.816552267967893,18.87741738154301
2020-01-04 03:45:00,2020/01/04 03:45:00,18.79378373404535,18.861724335606425
2020-01-04 03:50:00,2020/01/04 03:50:00,18.771490612678747,18.84447048784864
2020-01-04 03:55:00,2020/01/04 03:55:00,18.74917610633088,18.82478729581777
2020-01-04 04:00:00,2020/01/04 04:00:00,18.728754054023,18.80185553726085
2020-01-04 04:05:00,2020/01/04 04:05:00,18.70830087948434,18.775531944125646
2020-01-04 04:10:00,2020/01/04 04:10:00,18.688607856706824,18.746622515006095
2020-01-04 04:15:00,2020/01/04 04:15:00,18.66888408420681,18.71655476743433
2020-01-04 04:20:00,2020/01/04 04:20:00,18.649372997289788,18.68571102164435
2020-01-04 04:25:00,2020/01/04 04:25:00,18.62983639318844,18.65492391580335
2020-01-04 04:30:00,2020/01/04 04:30:00,18.610701336308978,18.625159657527036
2020-01-04 04:35:00,2020/01/04 04:35:00,18.59154387114677,18.59727925076146
2020-01-04 04:40:00,2020/01/04 04:40:00,18.572885953386958,18.571739990360754
2020-01-04 04:45:00,2020/01/04 04:45:00,18.55420734548636,18.54873724862574
2020-01-04 04:50:00,2020/01/04 04:50:00,18.535948433815236,18.52803691686563
2020-01-04 04:55:00,2020/01/04 04:55:00,18.517670661980446,18.509272847270267
2020-01-04 05:00:00,2020/01/04 05:00:00,18.508512654770698,18.49187418795384
2020-01-04 05:05:00,2020/01/04 05:05:00,18.499267890960482,18.477453040436615
2020-01-04 05:10:00,2020/01/04 05:10:00,18.485551789242436,18.464932068780797
2020-01-04 05:15:00,2020/01/04 05:15:00,18.471798290067568,18.452296012648787
2020-01-04 05:20:00,2020/01/04 05:20:00,18.454853713596833,18.439346803557612
2020-01-04 05:25:00,2020/01/04 05:25:00,18.43790824025251,18.42523732759463
